dominio_hashed,veredicto,raw_output,sector,ciudad,comunidad
b827d80208aa45bdd93db8a696081bb326096e58d72c2b0dcf6a1abfcf773d69,Suplantación posible,bcbf9394d4f0d95ccbfbcfde6314ec4d64d3713dd3ee2c296db671a9a6bbf503,['marketing & advertising'],Quart de Poblet,Valencian Community
45c9550c773b33d123703e405102af2064336dde91d8ab9943b9c753861371aa,Suplantación posible,d1183fc63bb5dabe3799957e004b1ece309a089a0771922ed305e23218791d1d,['marketing & advertising'],Quart de Poblet,Valencian Community
462b62f3123316a863ca070ae00b6f9ceef0dae78c4fe43ede94355bbd2ec7b2,Suplantación NO es posible,e1d882af89e57cd6e040073d54c1863d36b9b95b1b9a84012bda1e7488411e67,['marketing & advertising'],Quart de Poblet,Valencian Community
7f74d635b45408a609a0ab448afe2b6d7a3f31c3d53cbee2b08639a27d6c620c,Suplantación posible,741749bd3f1e5a952730eb481b647ecfd15b171cfe963c4a5e1fc90902111333,"['health, wellness & fitness']",Vitoria-Gasteiz,Basque Country
c6e97edf4c165ccbba5949b871ab3739c41757f8845a8043828e9fb6aac4477c,Suplantación posible,3b88e338d9c1d718b17a627b4c0f1c165830ec1bbae03077836502f825ee6b31,"['health, wellness & fitness']",Vitoria-Gasteiz,Basque Country
8146eea6d04512b0c8149d57db8aa5925c5b96cdd79dc7e6a14eda6f283663b7,Suplantación NO es posible,7e89d30de422abb72d6c50d0804b79a93460ab48d4cc90ee1b2ba4eb96e20887,"['health, wellness & fitness']",Vitoria-Gasteiz,Basque Country
bb8041b212809ec5ce09ecac24412f40112b7045d9a22d02c1a264f96cdb3f7c,Suplantación NO es posible,25250fea8b82e19b9b2cbffbf20ed0549df75f9340628d6e36a42ca095c87ced,"['health, wellness & fitness']",Vitoria-Gasteiz,Basque Country
98508cf2a90a5e6d055026022b4e8a8cbf5b0f21be6120b509294f24d94aa0b7,Suplantación posible,66fba97b4347cf9c3d6bdbfe687d0146bcc0e2b8d4b0f984eab68934226bb9c3,"['health, wellness & fitness']",Vitoria-Gasteiz,Basque Country
c5aedaf7e1a686cd63941b6c4effc9fa07282938eb5fa592aa54cbd8569e3b09,Suplantación posible,93ab263ec934cd4428bc3cdde81b4d1c894fe6dd3a73dfce45f4bb029cf16388,"['health, wellness & fitness']",Vitoria-Gasteiz,Basque Country
074b6295b73033b5e92e2fd866619c1d9608bf045e6708d80f652ba8bbf31835,Suplantación posible,365ed9abd36b354ddc8961990d0f66a013d831805a5435abacd7390287e5b7c4,['hospitality'],Palma,
e8fecbac21488caeacd62df6540594c5e2bfb16bef458be1a49f0f9822a670cd,Suplantación posible,d311042cfbc35c8bab927110993c734be547ac013f7dbe989cb6eabfa5c3857f,['hospitality'],Palma,
eb0ee478da65abbc96d26e89c2e5d1cbd9b3a95648c15f76119292aa235d8621,Suplantación posible,1a92770d9f3ce2225e8b156d2ba6df2d324f8eff043ac387a3ee9e7e54a5f655,['hospitality'],Palma,
49a689f4e98dcf31479b6155367336ac9c99c4fa2d4567a8338e20d5a04c0c88,Suplantación posible,a4dc75ddb35db287d62ae0568e9e8c294b5aad51e509016ca10ecedfc98e0ecc,['hospitality'],Palma,
5bafe0ba914282149557f3b59e8a87f4996a972851394133e374b1da587d0aa0,Suplantación posible,0dceed392090f4a8accdf92242e00ffed2e984c2a58b85bf2bee1c614ff66928,['hospitality'],Palma,
f609ce0c90daf38c0ddf294f6a660d8548174ef3d8938c3bbb4c4f8e1e47cdbc,Suplantación NO es posible,6d60ad608331805c07d2387b44a36bd8a45191a3f6b335e3df6569b3feda5426,['hospitality'],Palma,
d3288e54892d397d7d406b3c9e5acad3ceebc5ff784a01bf512aae1e265a46b1,Suplantación posible,8777d7584eca5dfd6aed58bac79e5644dbca1700b29229682ab4c31da5895804,['marketing & advertising'],Madrid,Community of Madrid
2d8c524d8d99ab342f5c5f53b77cd8688efaae7a9f72663786959d7101b6c2bd,Suplantación posible,dd08d178841831fcc884df3617d9645b222e945343647aafcc890c70abdcfd14,['marketing & advertising'],Madrid,Community of Madrid
8f3d32ab5411b210d9af4109873394251de797198661b7bd48e5af13d1134ea8,Suplantación posible,99b607b8ea3abfc3f3b76f2540702aa8f17996b7c8127ee54499ae5322b89ea5,['information technology & services'],Madrid,Community of Madrid
fcb5f6ed32c9885447f4952a355846435b5ce7cd662d3711feb7b4382833c4b7,Suplantación NO es posible,0fbfa8c488335363d7d5815023bd386d5197a552fb37a9d52dcb30048762e3b7,['information technology & services'],Madrid,Community of Madrid
8f3155dadaeacb96a8f4958c25d3a8787d7ad2b2905b591e71a921d6c3426e7b,Suplantación posible,273c7ca032657b3283a41dc5045eee0dca69fd3397c448f34a4b48ef9475d393,['information technology & services'],Madrid,Community of Madrid
6fb3fba11b2d7aaa623b1c3b71ef1f7ea18ddfcbc819b3382b3404c1ad49f374,Suplantación posible,fcf8e7601e355694a3e7fddee333aaab29acbca60be5912782f356904824b863,['information technology & services'],Madrid,Community of Madrid
1a75b66a4ef05e95d9a1b5297a780d5e8eed703c845627ef493332bdc4db7ae1,Suplantación NO es posible,c832369411ac09286e089a86781ae6a4d70519071d171f4c8b7e2f0318d796d1,['information technology & services'],Madrid,Community of Madrid
11c1bea13e46cf8745057f2563a1055e53a53996bcb4e733e27499431a53a53a,Suplantación NO es posible,d570f807ffb2f561995d1db6c3ae8b6dc6d0f9d19eb7da6ba4c2f1b84bfa3cb2,['information technology & services'],Madrid,Community of Madrid
def5e552a5b41bd7bbaa255e92daee72f92339f49d29a6bb580248b1cef953d6,Suplantación posible,755e47ebe952adfef1b5fd09d374b6539af714083d638a664a5c6e043d681df7,['computer software'],Granada,
cea2b2874b4bcaf6d568bfbfbf2bc9b943ce3b70aaaf7417ee89d996fcfc1e5c,Suplantación posible,767f3e581639fea819704f37d4e99306d72656e24d50943b956fd864e4c09702,['computer software'],Granada,
f3a73f0afe599c7a30efe54108e022bc2360dbafab9a5773e56dca1aecfe3856,Suplantación posible,16977dc5051fe42aeb28f7f06ffc6ce812f85b8bf59f693e662367732dce8732,['computer software'],Granada,
1b9985144ffe04662d1a9ccba92f4625251eb8eb46d0fe8296aca9d1372c4def,Suplantación posible,2d9e5cc9e13793e56ea7b46f9e3de5f86ff202219c12407940fdd056dbe2c42d,['computer software'],Granada,
d76e48c7ffd65489aeb2f1ce01aefe5433ea365c91ae9e28827d6765f8c010ae,Suplantación posible,8530c08c6601b4ad3b89165605b8b6c6797b1f134625225d088ac58d95f9adf7,['computer software'],Granada,
c28ed100b96014cfb10aff8e3e71fe20d4299a4996e4103a9cd2a6bafcad72b0,Suplantación posible,557f527dba08a5614a252e59dea56d272a71545ccc0299f5e9dd1130914ba968,['environmental services & clean energy'],Celrà,Catalunya
42d6d389ce162a7da6599ce03cc465638cfadd03716d66a1156af9f3e60fe676,Suplantación posible,eb822eaa1327ec59e9ddd7f16dbd179439a8632fa87a6ab78bede02bd8c21934,['environmental services & clean energy'],Celrà,Catalunya
559c94d68ded4d6d28057ee9f7e94171e5b69513aeb42d0e0fd7a8f7a48a61be,Suplantación posible,297ada7506972c7b4a5e4937e901f2719144b72d44cba7c11e0d2a2b026e290c,['environmental services & clean energy'],Celrà,Catalunya
474203cc3b2dcbb1f4f4adb8b6534d1a6c3bfeb6555e69756c04880a62a96945,Suplantación posible,15ae9e54affd25866c30c5c7685d17c7c9f07c24d0bd4598bd4e6154cdebf74d,['environmental services & clean energy'],Celrà,Catalunya
f59d56f7934ea6aa2d5254083bdea9089e428e401dbd8e21a0ab74e3763a9ea7,Suplantación NO es posible,73ff9e8e1d7a3da0bbf1f153c9081b59ddd23b8cd89079c6da4b1abf72981ff9,['environmental services & clean energy'],Celrà,Catalunya
4f2b85d1f32b9cc9bbc5b127308e1c6577a66f2cfab06c4a5832459fa1bc9db6,Suplantación quizá es posible,d4472790d3d2b1ba51f93cac3b18e4d711d3ae41647821ff061f568fb0b164f2,['environmental services & clean energy'],Celrà,Catalunya
